neighbourhood_cleansed,price,listings_count,latitude,longitude,accommodates,price_color,price_category
South Lake Union,89.79633084577114,134,47.62210039599935,-122.335750614546,2.925373134328358,#EC7063,Top 25%
Central Business District,83.59073895323897,222,47.60868192939417,-122.33610959837506,3.734234234234234,#EC7063,Top 25%
Belltown,64.04715281860342,503,47.615109266880474,-122.34616289818543,3.4731610337972167,#EC7063,Top 25%
Pike-Market,63.35454545454543,193,47.60978065763436,-122.34123135040551,3.8082901554404147,#EC7063,Top 25%
Westlake,60.701380109565946,113,47.632077242191265,-122.34158418795901,2.690265486725664,#EC7063,Top 25%
Pioneer Square,60.20276610644257,68,47.60035269809186,-122.33357785751754,3.3970588235294117,#EC7063,Top 25%
First Hill,58.94841530054649,305,47.61078274335024,-122.3272544476706,3.265573770491803,#EC7063,Top 25%
Portage Bay,57.25920634920635,31,47.64755268105726,-122.32037965639928,3.967741935483871,#EC7063,Top 25%
International District,53.34738095238096,70,47.599289746841514,-122.32447887594559,3.085714285714286,#EC7063,Top 25%
Harrison/Denny-Blaine,52.315572390572385,37,47.622717958674556,-122.29125104837361,4.027027027027027,#EC7063,Top 25%
Broadway,49.30863175372465,619,47.621025745578216,-122.32080558421816,3.0290791599353795,#EC7063,Top 25%
Madrona,49.268200590924785,64,47.6125172640708,-122.29065679396929,4.28125,#EC7063,Top 25%
Lower Queen Anne,49.229787833694076,193,47.62552701176844,-122.35664491392903,3.466321243523316,#EC7063,Top 25%
East Queen Anne,46.997204184704174,134,47.635542297167284,-122.34823307173181,3.91044776119403,#EC7063,Top 25%
West Queen Anne,46.65129596965534,130,47.635592257485975,-122.36743785275554,5.253846153846154,#EC7063,Top 25%
Sunset Hill,46.231969696969706,55,47.67747597085773,-122.39900195238405,4.127272727272727,#EC7063,Top 25%
Stevens,46.22959011887585,231,47.62342182747789,-122.30665429662568,3.5281385281385282,#EC7063,Top 25%
Genesee,45.9749299719888,68,47.565514799803736,-122.38610273655947,3.5441176470588234,#EC7063,Top 25%
Madison Park,45.17475749559083,27,47.63650056344184,-122.28076000469063,4.888888888888889,#EC7063,Top 25%
Eastlake,44.821253501400555,103,47.641024023679314,-122.32544906454707,3.3689320388349513,#EC7063,Top 25%
Southeast Magnolia,44.765188172043025,62,47.643814643101855,-122.39050782628965,3.629032258064516,#EC7063,Top 25%
Cedar Park,44.27155172413793,30,47.72287890674775,-122.28645507640614,3.9,#F4D03F,Middle 50%
Industrial District,44.0,3,47.58121919346294,-122.335987106684,4.666666666666667,#F4D03F,Middle 50%
North Queen Anne,42.4081117956118,157,47.64595366731446,-122.36393489442196,4.439490445859873,#F4D03F,Middle 50%
Fremont,42.158222193070685,298,47.656729691307355,-122.35143998615818,3.684563758389262,#F4D03F,Middle 50%
University District,42.12789573333753,232,47.66333383489446,-122.31348227176389,2.939655172413793,#F4D03F,Middle 50%
Laurelhurst,42.009803921568626,17,47.66133031308445,-122.28126763981602,3.176470588235294,#F4D03F,Middle 50%
North Admiral,41.9676276065982,102,47.580170752913745,-122.38791792067654,3.9313725490196076,#F4D03F,Middle 50%
Interbay,41.96111111111111,15,47.64445228785726,-122.38292181388768,2.933333333333333,#F4D03F,Middle 50%
Alki,41.745507782401,103,47.57484871494096,-122.40708011440091,4.330097087378641,#F4D03F,Middle 50%
Minor,40.753371011704346,298,47.6085528420844,-122.31020266464193,3.5604026845637584,#F4D03F,Middle 50%
Lawton Park,40.19474206349206,84,47.6547906876319,-122.39376745182311,3.892857142857143,#F4D03F,Middle 50%
Fauntleroy,39.735725623582766,35,47.52168299945706,-122.38684225934132,4.371428571428571,#F4D03F,Middle 50%
Yesler Terrace,39.247557997558,39,47.60487572889316,-122.32005696428004,3.1794871794871793,#F4D03F,Middle 50%
Green Lake,39.22375899122082,137,47.68115878391215,-122.33257968954412,4.408759124087592,#F4D03F,Middle 50%
Windermere,39.157575757575756,22,47.67143228137723,-122.26841048002352,3.727272727272727,#F4D03F,Middle 50%
Whittier Heights,39.111981566820276,62,47.68202800795194,-122.37141423931497,3.7580645161290325,#F4D03F,Middle 50%
Adams,38.97628968253968,132,47.671945860786096,-122.38646192626726,3.8863636363636362,#F4D03F,Middle 50%
Montlake,38.82160894660895,77,47.64057606521658,-122.30832705556035,3.5324675324675323,#F4D03F,Middle 50%
Mount Baker,38.51983254840397,99,47.57724377274525,-122.28988594219393,3.6363636363636362,#F4D03F,Middle 50%
Briarcliff,38.337301587301596,24,47.64377697577905,-122.40534420486607,5.75,#F4D03F,Middle 50%
Phinney Ridge,38.1041992824527,146,47.675728346131606,-122.35520678253094,3.767123287671233,#F4D03F,Middle 50%
Bryant,37.80812324929972,51,47.6703191420683,-122.28638378304909,3.549019607843137,#F4D03F,Middle 50%
Mann,37.51897801446674,134,47.61382370356248,-122.29908763360784,4.470149253731344,#F4D03F,Middle 50%
North Beach/Blue Ridge,37.44618168290043,32,47.699781402356564,-122.38785841564672,4.5,#F4D03F,Middle 50%
Seward Park,37.205411255411256,78,47.55392486139397,-122.2689261468253,3.9743589743589745,#F4D03F,Middle 50%
Leschi,37.02045112781955,96,47.59849879073985,-122.29306630534832,4.052083333333333,#F4D03F,Middle 50%
Loyal Heights,37.012597889002386,89,47.6823397432124,-122.38463434622224,3.8876404494382024,#F4D03F,Middle 50%
Wallingford,37.00142393971259,317,47.659795294804965,-122.3325208423264,3.807570977917981,#F4D03F,Middle 50%
Ravenna,36.88315333006054,97,47.675405361366956,-122.30066397499041,3.6391752577319587,#F4D03F,Middle 50%
Crown Hill,36.65064102564103,39,47.69681795230304,-122.371422253796,3.1794871794871793,#F4D03F,Middle 50%
Roosevelt,36.49457749766574,85,47.68049917410264,-122.31536772145562,3.6941176470588237,#F4D03F,Middle 50%
West Woodland,36.23034845324992,137,47.668615363481756,-122.3667139082915,4.0510948905109485,#F4D03F,Middle 50%
Holly Park,36.197916666666664,8,47.54008370148946,-122.28870255197938,5.125,#F4D03F,Middle 50%
Victory Heights,36.1075,40,47.7097111206818,-122.30691571454165,3.375,#F4D03F,Middle 50%
Seaview,36.04607843137255,34,47.551392430402856,-122.39332647460554,3.6470588235294117,#F4D03F,Middle 50%
View Ridge,35.800694444444446,20,47.68115972807669,-122.27242516290889,4.1,#F4D03F,Middle 50%
North Beacon Hill,35.65202579365078,200,47.581913492882094,-122.31118916629052,3.68,#F4D03F,Middle 50%
Wedgwood,35.590624999999996,40,47.69050456630459,-122.29318914141984,3.225,#F4D03F,Middle 50%
Columbia City,35.46745480599648,145,47.55954758181003,-122.2857356195333,3.793103448275862,#F4D03F,Middle 50%
Matthews Beach,35.44558823529412,34,47.70270069906672,-122.27866531807388,4.117647058823529,#F4D03F,Middle 50%
Bitter Lake,35.11770833333333,40,47.71912125644083,-122.35194349041016,2.95,#F4D03F,Middle 50%
Fairmount Park,34.84481538992408,46,47.55577787360681,-122.380792765002,3.9782608695652173,#F4D03F,Middle 50%
Maple Leaf,34.82003023431595,63,47.697101182236715,-122.31610334449427,3.5873015873015874,#F4D03F,Middle 50%
Gatewood,34.692532467532466,55,47.53923542846633,-122.3851445779707,3.672727272727273,#F4D03F,Middle 50%
Georgetown,34.68895502645502,27,47.54590608214427,-122.32062384365139,3.6296296296296298,#58D68D,Bottom 25%
Atlantic,34.34005918751682,118,47.59543608791463,-122.30435090473243,3.694915254237288,#58D68D,Bottom 25%
North College Park,34.001831501831504,65,47.69690618291692,-122.33902239510456,2.953846153846154,#58D68D,Bottom 25%
Haller Lake,33.54391774891775,55,47.72120725222754,-122.33433294788139,3.5272727272727273,#58D68D,Bottom 25%
High Point,33.42454954954955,37,47.545667872190435,-122.37117137448982,3.4324324324324325,#58D68D,Bottom 25%
North Delridge,32.820769437718596,59,47.56371768187425,-122.3643447899779,3.3728813559322033,#58D68D,Bottom 25%
Greenwood,32.704801000860115,203,47.693894024753526,-122.35369074932942,3.5369458128078817,#58D68D,Bottom 25%
Meadowbrook,32.63157894736842,19,47.70708479818257,-122.296457782379,2.4210526315789473,#58D68D,Bottom 25%
Roxhill,32.55104166666666,16,47.53074800455037,-122.37052991477398,3.3125,#58D68D,Bottom 25%
South Park,32.03846153846154,13,47.525744582987535,-122.32333515482387,3.3846153846153846,#58D68D,Bottom 25%
